"Transactional key","Llave transaccional",
"Site Identifier","Identificador del sitio",
"URL refers to the endpoint to use","URL hace referencia al endpoint a usar",
"Enviroments","Entornos",
"Environment","Entorno",
"Development","Desarrollo",
"Production","Producción",
"URL for payment notifications: %1","URL para notificaciones de pagos %1",
"Notify URL","URL de notificación",
"We regret that you have decided to cancel the payment","Lamentamos que haya decidido cancelar el pago",
"An error has occurred while checking the payment status","Ha surgido un error al comprobar el estado del pago",
"invalid notification","notificacion no válida",
"Payment approved","Pago aprobado",
"Payment declined","Pago rechazado",
"Invoice created","Factura creada",
"Invoice #%1","Factura #%1",
"Sort Order","Sort Order",
"State of the Order","Estado de la Orden",
"Initial state of the order","Estado inicial del pedido",
"Order status when the payment is approved","Estado del pedido cuando el pago es aprobado",
"Order status when the payment is rejected","Estado del pedido cuando el pago es rechazado"